pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
314.400000,81.090000,314.160000,165.260000,305.330000,252.990000,299.180000,350.290000,277.210000,444.790000,239.090000,540.740000,204.220000,620.380000
314.390000,81.100000,314.150000,165.250000,305.370000,252.990000,299.190000,350.310000,277.230000,444.810000,239.100000,540.740000,204.240000,620.360000
314.370000,81.080000,314.190000,165.260000,305.450000,252.990000,299.260000,350.260000,277.300000,444.920000,239.090000,540.720000,204.280000,620.330000
314.350000,81.080000,314.190000,165.270000,305.740000,253.060000,299.270000,350.240000,277.320000,444.930000,239.100000,540.710000,204.270000,620.340000
314.370000,81.070000,314.190000,165.270000,305.730000,253.070000,299.250000,350.200000,277.300000,444.930000,239.100000,540.720000,204.280000,620.340000
314.380000,81.090000,314.180000,165.260000,305.720000,253.060000,299.220000,350.210000,277.290000,444.930000,239.100000,540.720000,204.280000,620.330000
314.360000,81.080000,314.170000,165.250000,305.700000,253.080000,299.200000,350.290000,277.270000,444.930000,239.100000,540.720000,204.280000,620.330000
314.360000,81.060000,314.180000,165.260000,305.710000,253.070000,299.250000,350.300000,277.270000,444.940000,239.110000,540.730000,204.300000,620.330000
314.370000,81.070000,314.170000,165.240000,305.750000,253.080000,299.250000,350.330000,277.290000,444.910000,239.110000,540.730000,204.300000,620.320000
314.370000,81.070000,314.190000,165.270000,305.760000,253.090000,299.330000,350.340000,277.260000,444.920000,239.100000,540.740000,204.270000,620.320000
314.370000,81.070000,314.190000,165.270000,305.750000,253.110000,299.340000,350.310000,277.250000,444.900000,239.100000,540.710000,204.280000,620.320000
314.380000,81.100000,314.190000,165.270000,305.740000,253.100000,299.290000,350.360000,277.240000,444.910000,239.110000,540.740000,204.270000,620.320000
314.350000,81.060000,314.190000,165.260000,305.730000,253.110000,299.230000,350.340000,277.200000,444.910000,239.110000,540.740000,204.270000,620.340000
