pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
258.810000,695.820000,293.920000,623.520000,311.380000,557.100000,337.130000,482.260000,355.190000,400.060000,371.170000,315.880000,253.230000,594.060000,250.400000,491.870000,252.980000,405.170000,263.340000,327.810000,372.980000,229.700000
257.320000,695.890000,292.320000,623.670000,309.950000,557.110000,335.140000,482.700000,354.090000,400.420000,370.820000,316.050000,252.130000,594.130000,249.680000,491.880000,252.280000,404.690000,263.340000,327.430000,372.720000,229.660000
255.850000,696.080000,290.970000,623.810000,308.090000,557.260000,333.220000,482.900000,352.840000,400.780000,370.210000,316.160000,250.870000,594.240000,249.000000,491.850000,251.730000,404.290000,263.170000,327.070000,372.160000,229.690000
253.670000,695.100000,288.790000,622.830000,305.760000,556.360000,330.930000,482.170000,351.710000,400.040000,368.850000,315.900000,248.900000,593.470000,247.710000,491.210000,250.460000,403.640000,262.430000,326.320000,370.990000,229.350000
251.040000,692.050000,286.170000,620.320000,302.960000,554.000000,327.840000,480.640000,349.240000,398.940000,366.520000,315.050000,246.590000,591.130000,246.600000,489.180000,248.870000,402.000000,261.280000,324.880000,368.940000,228.850000
249.280000,689.590000,284.000000,618.320000,300.230000,552.570000,325.000000,479.850000,346.950000,398.210000,364.570000,314.640000,244.970000,589.220000,246.160000,487.350000,247.740000,400.760000,260.300000,323.770000,367.700000,228.260000
248.350000,688.050000,282.750000,616.990000,298.430000,551.690000,323.100000,479.150000,345.050000,397.870000,363.610000,314.040000,244.090000,587.860000,245.930000,486.300000,247.120000,399.470000,259.820000,322.860000,366.680000,228.000000
247.540000,686.940000,281.850000,616.080000,297.520000,550.980000,321.750000,478.880000,343.460000,397.710000,362.710000,313.790000,243.300000,586.820000,245.560000,485.380000,246.620000,398.680000,259.310000,322.170000,366.100000,227.730000
248.130000,686.800000,282.160000,615.680000,298.050000,550.620000,322.270000,478.800000,344.430000,397.180000,363.040000,313.480000,243.420000,586.380000,244.970000,485.000000,246.440000,398.430000,259.160000,321.860000,366.400000,227.370000
251.740000,687.430000,284.560000,616.010000,301.640000,550.040000,326.080000,478.260000,346.140000,397.090000,364.450000,313.110000,245.260000,586.710000,244.630000,485.090000,246.890000,398.560000,259.220000,321.910000,367.440000,227.160000
