248.35,688.05,282.75,616.99,298.43,551.69,323.1,479.15,345.05,397.87,363.61,314.04,244.09,587.86,245.93,486.3,247.12,399.47,259.82,322.86,366.68,228
247.54,686.94,281.85,616.08,297.52,550.98,321.75,478.88,343.46,397.71,362.71,313.79,243.3,586.82,245.56,485.38,246.62,398.68,259.31,322.17,366.1,227.73
248.13,686.8,282.16,615.68,298.05,550.62,322.27,478.8,344.43,397.18,363.04,313.48,243.42,586.38,244.97,485,246.44,398.43,259.16,321.86,366.4,227.37
251.74,687.43,284.56,616.01,301.64,550.04,326.08,478.26,346.14,397.09,364.45,313.11,245.26,586.71,244.63,485.09,246.89,398.56,259.22,321.91,367.44,227.16
257.43,689.15,288.83,617.22,306.19,551.1,330.82,478.07,349.16,396.89,366.3,312.88,248.56,587.74,245.72,485.82,248.14,399.22,259.62,322.28,368.91,226.93
262.15,691.35,293,619.09,310.24,552.57,335.19,478.09,352.28,396.71,368.08,312.74,251.83,589.33,247.35,486.76,249.58,400.16,260.14,322.9,370.13,226.86
264.89,693.32,295.75,620.95,313.17,553.95,338.54,478.2,355,396.46,369.56,312.6,254.14,590.96,248.95,487.77,250.89,401.1,260.88,323.39,371.07,226.85
266.13,694.98,297.14,622.34,315.03,555.04,340.43,478.75,357.22,396.19,370.81,312.44,255.67,592.19,250.23,488.54,251.94,401.97,261.57,324.05,371.86,226.88
266.69,696.19,298.12,623.3,316.13,555.99,342.03,479.03,358.33,396.3,371.52,312.61,256.6,593.11,251.3,489.03,252.9,402.76,262.03,324.73,372.39,227
266.92,697.07,298.66,623.97,316.82,556.73,343.1,479.32,359.37,396.29,372.02,312.81,257.14,593.76,251.99,489.68,253.65,403.3,262.67,325.11,372.91,227.08
267.02,697.73,298.93,624.67,317.58,557.15,343.78,479.69,359.71,396.56,372.62,312.85,257.67,594.14,252.7,489.95,254.11,403.79,263.01,325.66,373.25,227.17
