pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
373.610000,29.970000,357.280000,97.920000,355.220000,173.850000,341.230000,261.770000,318.230000,353.670000,289.420000,454.590000,271.890000,493.570000,224.950000,585.750000
373.590000,29.960000,357.280000,97.920000,355.210000,173.830000,341.220000,261.780000,318.210000,353.650000,289.410000,454.560000,271.870000,493.560000,224.950000,585.750000
373.590000,29.960000,357.300000,97.940000,355.200000,173.820000,341.200000,261.760000,318.130000,353.580000,289.360000,454.600000,271.860000,493.550000,224.950000,585.740000
373.590000,29.960000,357.300000,97.930000,355.180000,173.830000,341.200000,261.750000,318.130000,353.580000,289.350000,454.600000,271.860000,493.540000,224.940000,585.740000
373.590000,29.970000,357.300000,97.920000,355.160000,173.830000,341.200000,261.760000,318.110000,353.590000,289.350000,454.540000,271.840000,493.500000,224.950000,585.740000
373.590000,29.970000,357.300000,97.920000,355.160000,173.830000,341.200000,261.760000,318.110000,353.590000,289.350000,454.370000,271.790000,493.270000,224.950000,585.740000
373.590000,29.970000,357.300000,98.020000,355.150000,173.830000,341.190000,261.740000,318.110000,353.580000,289.340000,454.350000,271.800000,493.260000,224.960000,585.740000
373.600000,30.000000,357.290000,97.920000,355.150000,173.830000,341.180000,261.740000,318.110000,353.580000,289.340000,454.400000,271.810000,493.270000,224.960000,585.730000
373.590000,30.100000,357.270000,97.930000,355.150000,173.830000,341.180000,261.740000,318.110000,353.590000,289.340000,454.330000,271.800000,493.250000,224.970000,585.730000
373.610000,29.990000,357.270000,97.930000,355.150000,173.820000,341.170000,261.740000,318.090000,353.580000,289.350000,454.340000,271.780000,493.220000,224.970000,585.730000
373.440000,30.000000,357.240000,97.960000,355.100000,173.840000,341.080000,261.700000,318.060000,353.540000,289.330000,454.340000,271.760000,493.210000,224.990000,585.690000
373.340000,29.930000,357.260000,97.940000,355.090000,173.850000,341.080000,261.700000,318.060000,353.530000,289.320000,454.330000,271.770000,493.210000,224.990000,585.690000
373.390000,29.960000,357.260000,97.960000,355.090000,173.860000,341.070000,261.690000,318.060000,353.530000,289.330000,454.330000,271.760000,493.210000,224.990000,585.680000
373.390000,29.960000,357.260000,97.960000,355.100000,173.860000,341.080000,261.690000,318.060000,353.530000,289.330000,454.330000,271.760000,493.210000,224.990000,585.690000
373.400000,29.970000,357.260000,97.960000,355.100000,173.850000,341.070000,261.690000,318.060000,353.540000,289.320000,454.320000,271.740000,493.200000,224.990000,585.680000
373.370000,29.960000,357.260000,97.930000,355.100000,173.860000,341.060000,261.680000,318.050000,353.540000,289.310000,454.320000,271.730000,493.190000,224.990000,585.680000
373.370000,29.960000,357.260000,97.930000,355.100000,173.860000,341.060000,261.680000,318.050000,353.540000,289.310000,454.340000,271.730000,493.190000,224.990000,585.670000
373.370000,29.960000,357.230000,97.980000,355.070000,173.870000,341.060000,261.670000,318.050000,353.530000,289.310000,454.330000,271.730000,493.160000,224.990000,585.670000
373.370000,29.960000,357.240000,97.980000,355.070000,173.870000,341.060000,261.670000,318.050000,353.500000,289.310000,454.330000,271.720000,493.160000,225.000000,585.670000
373.360000,29.970000,357.240000,97.980000,355.050000,173.850000,341.060000,261.670000,318.030000,353.420000,289.310000,454.280000,271.730000,493.150000,225.000000,585.660000
373.340000,29.920000,357.240000,97.980000,355.040000,173.840000,341.060000,261.680000,318.020000,353.420000,289.320000,454.340000,271.740000,493.140000,225.010000,585.660000
373.330000,29.920000,357.240000,97.980000,355.040000,173.840000,341.040000,261.670000,318.020000,353.400000,289.320000,454.310000,271.750000,493.120000,225.010000,585.650000
373.220000,29.950000,357.160000,97.900000,355.010000,173.840000,340.970000,261.620000,317.980000,353.330000,289.270000,454.210000,271.820000,493.090000,225.070000,585.620000
373.220000,29.830000,357.120000,97.920000,355.010000,173.840000,340.980000,261.620000,317.980000,353.310000,289.260000,454.210000,271.820000,493.080000,225.070000,585.630000
373.200000,29.920000,357.110000,97.860000,355.000000,173.840000,340.970000,261.610000,317.980000,353.310000,289.240000,454.210000,271.820000,493.090000,225.080000,585.610000
373.200000,29.930000,357.120000,97.860000,354.980000,173.840000,340.970000,261.610000,317.980000,353.310000,289.240000,454.200000,271.770000,493.080000,225.080000,585.620000
373.200000,29.940000,357.130000,97.870000,355.000000,173.850000,340.970000,261.610000,317.970000,353.310000,289.240000,454.200000,271.820000,493.070000,225.070000,585.620000
373.200000,29.940000,357.100000,97.840000,354.990000,173.830000,340.960000,261.610000,317.970000,353.320000,289.230000,454.210000,271.810000,493.060000,225.080000,585.610000
373.200000,29.940000,357.100000,97.840000,354.990000,173.830000,340.960000,261.610000,317.970000,353.320000,289.230000,454.210000,271.810000,493.060000,225.080000,585.610000
373.210000,29.950000,357.100000,97.840000,354.980000,173.830000,340.950000,261.600000,317.970000,353.310000,289.230000,454.200000,271.820000,493.050000,225.080000,585.560000
373.210000,29.940000,357.100000,97.840000,354.970000,173.840000,340.950000,261.600000,317.960000,353.310000,289.220000,454.200000,271.820000,493.050000,225.080000,585.550000
373.220000,29.950000,357.100000,97.850000,354.950000,173.810000,340.930000,261.600000,317.940000,353.290000,289.210000,454.150000,271.810000,493.020000,225.080000,585.540000
373.200000,29.930000,357.100000,97.850000,354.950000,173.810000,340.930000,261.590000,317.930000,353.270000,289.210000,454.150000,271.800000,492.980000,225.100000,585.520000
373.200000,29.920000,357.100000,97.840000,354.950000,173.820000,340.930000,261.590000,317.940000,353.270000,289.200000,454.160000,271.810000,492.980000,225.100000,585.500000
373.200000,29.920000,357.100000,97.840000,354.950000,173.820000,340.920000,261.580000,317.930000,353.260000,289.200000,454.150000,271.820000,492.970000,225.170000,585.150000
373.160000,29.980000,357.050000,97.870000,354.950000,173.780000,340.910000,261.490000,317.940000,353.230000,289.240000,454.120000,271.860000,492.930000,225.250000,585.140000
373.140000,29.980000,357.120000,97.940000,354.950000,173.770000,340.860000,261.410000,317.940000,353.230000,289.250000,454.120000,271.860000,492.920000,225.250000,585.140000
373.140000,29.970000,357.060000,97.870000,354.960000,173.800000,340.860000,261.410000,317.940000,353.250000,289.260000,454.110000,271.870000,492.930000,225.240000,585.140000
373.160000,29.990000,357.060000,97.870000,354.960000,173.800000,340.850000,261.400000,317.930000,353.230000,289.240000,454.120000,271.870000,492.920000,225.240000,585.140000
