pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
372.190000,199.840000,356.770000,285.850000,326.680000,366.940000,292.330000,436.070000,228.590000,539.310000,189.220000,590.950000,159.030000,664.870000
372.190000,199.830000,356.810000,285.840000,326.740000,366.940000,292.380000,436.070000,228.930000,539.180000,189.270000,590.970000,159.050000,664.870000
372.210000,199.820000,356.830000,285.840000,326.790000,366.930000,292.530000,436.060000,228.990000,539.210000,189.400000,590.950000,159.080000,664.890000
372.230000,199.820000,356.850000,285.830000,326.860000,366.930000,292.800000,436.050000,229.020000,539.260000,189.740000,590.850000,159.110000,664.880000
372.250000,199.800000,356.870000,285.820000,326.930000,366.930000,292.890000,436.050000,229.100000,539.350000,189.840000,590.910000,159.170000,664.910000
372.260000,199.800000,356.900000,285.820000,326.980000,366.920000,292.980000,436.070000,229.160000,539.440000,189.910000,590.930000,159.310000,664.960000
372.300000,199.790000,356.940000,285.820000,327.050000,366.920000,293.100000,436.080000,229.080000,540.050000,190.030000,590.980000,159.550000,664.940000
372.300000,199.790000,356.960000,285.820000,327.130000,366.920000,293.170000,436.090000,228.940000,540.710000,190.190000,591.020000,159.900000,664.950000
372.320000,199.780000,356.990000,285.800000,327.200000,366.920000,293.320000,436.100000,229.070000,540.780000,190.430000,591.040000,160.000000,664.970000
372.340000,199.770000,357.010000,285.790000,327.300000,366.930000,293.520000,436.100000,229.220000,540.840000,190.810000,590.970000,160.060000,664.980000
372.340000,199.770000,357.040000,285.810000,327.360000,366.920000,293.850000,436.080000,229.350000,540.870000,190.970000,591.050000,160.170000,665.010000
372.370000,199.750000,357.070000,285.790000,327.510000,366.910000,294.000000,436.100000,229.670000,540.880000,191.090000,591.110000,160.410000,665.060000
372.390000,199.740000,357.090000,285.770000,327.770000,366.880000,294.080000,436.090000,230.010000,540.800000,191.320000,591.130000,160.890000,665.070000
372.390000,199.730000,357.110000,285.760000,327.840000,366.870000,294.160000,436.110000,230.120000,540.880000,191.720000,591.020000,160.980000,665.100000
372.400000,199.730000,357.110000,285.760000,327.880000,366.870000,294.210000,436.110000,230.210000,540.910000,191.820000,591.060000,161.030000,665.130000
372.410000,199.720000,357.130000,285.750000,327.920000,366.860000,294.290000,436.120000,230.350000,540.920000,191.900000,591.090000,161.100000,665.140000
372.410000,199.720000,357.140000,285.740000,327.940000,366.860000,294.310000,436.120000,230.380000,540.940000,191.950000,591.110000,161.150000,665.170000
372.420000,199.710000,357.140000,285.730000,327.970000,366.850000,294.360000,436.120000,230.410000,540.930000,192.000000,591.160000,161.250000,665.200000
372.420000,199.710000,357.160000,285.720000,327.990000,366.850000,294.400000,436.120000,230.530000,540.910000,192.040000,591.180000,161.350000,665.220000
372.420000,199.700000,357.150000,285.710000,327.980000,366.850000,294.410000,436.110000,230.830000,540.770000,192.060000,591.200000,161.390000,665.230000
372.420000,199.690000,357.160000,285.730000,327.960000,366.860000,294.390000,436.110000,230.840000,540.750000,192.080000,591.200000,161.410000,665.230000
372.420000,199.700000,357.160000,285.720000,327.970000,366.840000,294.380000,436.110000,230.840000,540.760000,192.080000,591.200000,161.520000,665.230000
372.400000,199.700000,357.140000,285.710000,327.940000,366.850000,294.340000,436.110000,230.810000,540.740000,192.090000,591.190000,161.820000,665.220000
372.400000,199.690000,357.130000,285.700000,327.920000,366.860000,294.310000,436.100000,230.810000,540.730000,192.090000,591.180000,161.850000,665.220000
372.390000,199.700000,357.110000,285.690000,327.900000,366.850000,294.270000,436.120000,230.790000,540.720000,192.070000,591.160000,161.860000,665.220000
372.370000,199.700000,357.100000,285.710000,327.890000,366.840000,294.230000,436.110000,230.750000,540.690000,192.060000,591.130000,161.870000,665.210000
372.360000,199.700000,357.090000,285.710000,327.860000,366.840000,294.210000,436.110000,230.690000,540.710000,192.040000,591.140000,161.850000,665.200000
372.370000,199.710000,357.080000,285.710000,327.860000,366.840000,294.210000,436.100000,230.730000,540.700000,192.030000,591.130000,161.850000,665.200000
372.370000,199.700000,357.100000,285.710000,327.850000,366.840000,294.210000,436.100000,230.730000,540.690000,192.020000,591.130000,161.850000,665.200000
372.370000,199.690000,357.080000,285.700000,327.840000,366.850000,294.190000,436.100000,230.720000,540.690000,192.020000,591.130000,161.860000,665.210000
