pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
285.960000,104.070000,277.460000,180.030000,262.950000,289.970000,227.060000,407.930000,177.050000,500.110000
285.930000,104.060000,277.860000,180.090000,262.960000,289.980000,227.080000,407.940000,177.050000,500.100000
286.000000,104.030000,277.880000,180.080000,262.990000,289.970000,227.100000,407.980000,177.050000,500.110000
285.960000,104.060000,277.920000,180.060000,263.030000,289.980000,227.120000,408.000000,177.040000,500.120000
285.970000,104.050000,277.920000,180.060000,263.050000,289.980000,227.140000,408.030000,177.050000,500.130000
285.960000,104.030000,277.930000,180.060000,263.060000,289.980000,227.160000,408.060000,177.060000,500.140000
285.970000,104.050000,277.960000,180.060000,263.080000,289.970000,227.200000,408.080000,177.070000,500.160000
285.960000,104.040000,277.960000,180.080000,263.080000,289.960000,227.230000,408.080000,177.100000,500.180000
285.960000,104.050000,277.960000,180.080000,263.090000,289.960000,227.250000,408.070000,177.140000,500.190000
285.950000,104.030000,277.950000,180.070000,263.120000,289.940000,227.280000,408.070000,177.170000,500.200000
285.950000,104.040000,277.960000,180.070000,263.120000,289.930000,227.320000,408.070000,177.190000,500.200000
285.950000,104.010000,277.950000,180.040000,263.120000,289.900000,227.360000,408.070000,177.210000,500.210000
285.980000,103.990000,278.000000,180.060000,263.180000,289.860000,227.450000,408.060000,177.290000,500.230000
285.960000,104.060000,278.010000,180.070000,263.180000,289.860000,227.600000,408.060000,177.300000,500.230000
285.960000,104.040000,277.990000,180.060000,263.190000,289.860000,227.640000,408.060000,177.320000,500.230000
285.950000,104.010000,277.970000,180.040000,263.200000,289.830000,227.690000,408.040000,177.370000,500.230000
285.970000,103.990000,277.990000,180.040000,263.210000,289.800000,227.740000,408.020000,177.460000,500.220000
285.970000,103.970000,278.000000,180.050000,263.210000,289.790000,227.760000,408.010000,177.750000,500.120000
285.990000,103.970000,278.020000,180.040000,263.210000,289.760000,227.800000,408.000000,177.830000,500.120000
285.990000,104.010000,278.020000,180.050000,263.230000,289.710000,227.870000,407.980000,177.910000,500.130000
285.980000,104.000000,278.020000,180.030000,263.240000,289.640000,227.890000,407.960000,177.950000,500.130000
286.010000,104.010000,278.040000,180.020000,263.260000,289.610000,227.950000,407.950000,178.010000,500.150000
285.980000,104.050000,278.050000,180.010000,263.280000,289.570000,228.000000,407.920000,178.070000,500.150000
285.960000,103.990000,278.000000,180.030000,263.290000,289.560000,228.020000,407.920000,178.100000,500.160000
285.980000,104.030000,277.960000,180.050000,263.340000,289.460000,228.100000,407.890000,178.210000,500.170000
285.990000,104.020000,277.970000,180.050000,263.320000,289.140000,228.100000,407.890000,178.210000,500.170000
285.980000,104.000000,277.990000,180.050000,263.330000,289.130000,228.100000,407.890000,178.210000,500.180000
285.970000,103.990000,277.990000,180.050000,263.330000,289.130000,228.120000,407.880000,178.230000,500.180000
285.960000,103.960000,277.990000,180.070000,263.330000,289.130000,228.150000,407.880000,178.260000,500.180000
286.000000,103.990000,277.980000,180.080000,263.340000,289.080000,228.190000,407.880000,178.310000,500.190000
286.010000,104.030000,277.970000,180.070000,263.350000,289.080000,228.220000,407.860000,178.370000,500.180000
286.000000,104.030000,277.960000,180.070000,263.350000,289.070000,228.240000,407.850000,178.440000,500.170000
285.980000,104.060000,277.970000,180.060000,263.360000,289.070000,228.310000,407.830000,178.790000,500.090000
286.000000,104.020000,277.970000,180.060000,263.390000,289.060000,228.350000,407.820000,178.840000,500.090000
285.980000,104.050000,277.960000,180.060000,263.380000,289.060000,228.400000,407.790000,178.890000,500.100000
285.970000,104.000000,277.970000,180.070000,263.400000,289.040000,228.450000,407.780000,178.930000,500.100000
286.000000,104.060000,277.980000,180.050000,263.440000,289.030000,228.590000,407.750000,178.990000,500.120000
285.990000,104.020000,277.910000,180.070000,263.470000,289.030000,228.700000,407.740000,178.990000,500.120000
285.990000,104.030000,277.980000,180.060000,263.950000,289.060000,228.730000,407.730000,179.010000,500.120000
285.990000,104.040000,277.960000,180.060000,263.950000,289.050000,228.760000,407.710000,179.060000,500.140000
285.980000,104.020000,277.960000,180.030000,263.950000,289.040000,228.810000,407.680000,179.140000,500.150000
285.990000,104.040000,277.950000,180.040000,263.950000,289.030000,228.840000,407.660000,179.180000,500.140000
285.980000,104.030000,277.960000,180.040000,263.950000,289.030000,228.880000,407.640000,179.220000,500.140000
285.970000,104.020000,277.950000,180.040000,263.950000,289.020000,228.920000,407.600000,179.280000,500.140000
285.970000,104.010000,277.980000,180.050000,263.960000,289.000000,228.960000,407.580000,179.380000,500.150000
285.970000,104.000000,277.920000,180.070000,263.960000,288.990000,228.990000,407.550000,179.470000,500.120000
285.980000,104.000000,277.930000,180.060000,263.970000,288.970000,229.010000,407.520000,179.740000,500.050000
285.980000,104.000000,277.930000,180.060000,263.970000,288.970000,229.090000,407.130000,179.790000,500.060000
286.010000,104.020000,277.980000,180.040000,263.990000,288.940000,229.160000,407.100000,179.860000,500.050000
286.010000,104.020000,277.950000,180.060000,263.990000,288.940000,229.160000,407.100000,179.870000,500.050000
285.990000,104.020000,277.950000,180.040000,263.990000,288.930000,229.180000,407.100000,179.890000,500.050000
286.000000,104.040000,277.960000,180.020000,263.990000,288.930000,229.200000,407.100000,179.930000,500.060000
286.000000,104.020000,277.980000,180.020000,263.990000,288.920000,229.260000,407.080000,179.970000,500.070000
286.000000,104.020000,277.980000,180.030000,264.000000,288.910000,229.280000,407.070000,179.990000,500.070000
286.010000,104.020000,277.970000,180.030000,264.000000,288.900000,229.320000,407.060000,180.040000,500.080000
286.010000,104.030000,277.970000,180.020000,264.010000,288.860000,229.370000,407.040000,180.090000,500.090000
286.000000,104.030000,277.970000,180.020000,264.020000,288.870000,229.420000,407.020000,180.130000,500.090000
286.020000,104.010000,277.960000,180.030000,264.020000,288.850000,229.430000,407.010000,180.180000,500.090000
286.020000,104.030000,277.960000,180.040000,264.020000,288.820000,229.490000,407.000000,180.250000,500.090000
286.010000,104.010000,277.970000,180.040000,264.020000,288.820000,229.650000,406.980000,180.290000,500.090000
286.010000,104.020000,277.950000,180.060000,264.050000,288.760000,229.750000,406.950000,180.430000,500.090000
286.020000,104.010000,277.960000,180.060000,264.050000,288.760000,229.750000,406.950000,180.660000,500.020000
286.010000,104.010000,277.960000,180.040000,264.050000,288.750000,229.760000,406.950000,180.660000,500.020000
286.000000,104.000000,277.970000,180.020000,264.050000,288.760000,229.760000,406.950000,180.680000,500.020000
286.000000,103.990000,277.940000,180.040000,264.050000,288.750000,229.760000,406.940000,180.700000,500.010000
286.020000,104.010000,277.940000,180.030000,264.030000,288.730000,229.790000,406.930000,180.760000,500.010000
286.000000,104.000000,277.950000,180.040000,264.050000,288.700000,229.830000,406.930000,180.840000,500.020000
285.980000,103.970000,277.960000,180.050000,264.050000,288.680000,229.880000,406.920000,180.880000,500.020000
285.990000,103.990000,277.950000,180.050000,264.050000,288.660000,229.930000,406.900000,180.930000,500.030000
286.000000,104.020000,277.930000,180.060000,264.050000,288.650000,229.940000,406.890000,180.950000,500.030000
285.990000,103.990000,277.930000,180.050000,264.060000,288.620000,229.970000,406.880000,180.980000,500.040000
286.000000,104.000000,277.930000,180.050000,264.060000,288.580000,229.990000,406.880000,181.030000,500.040000
286.000000,104.040000,277.940000,180.050000,264.090000,288.480000,230.080000,406.820000,181.110000,500.050000
286.020000,104.060000,277.940000,180.070000,264.080000,288.160000,230.090000,406.820000,181.130000,500.050000
