pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
289.300000,698.860000,310.910000,626.340000,324.300000,554.300000
289.420000,698.810000,310.940000,626.310000,324.300000,554.260000
289.610000,698.860000,311.000000,626.180000,324.320000,554.150000
289.670000,698.870000,311.020000,626.170000,324.360000,554.160000
289.940000,698.900000,311.220000,626.130000,324.570000,554.050000
289.960000,698.890000,311.220000,626.130000,324.680000,554.060000
290.020000,698.850000,311.390000,626.120000,324.740000,554.070000
290.170000,698.830000,311.540000,626.050000,324.890000,554.040000
290.230000,698.810000,311.560000,626.060000,324.780000,553.980000
290.460000,698.750000,311.650000,625.970000,324.810000,553.980000
290.640000,698.640000,311.720000,625.980000,324.840000,554.050000
290.790000,698.580000,311.800000,625.880000,324.990000,554.110000
291.030000,698.580000,312.120000,625.880000,325.010000,554.110000
291.260000,698.550000,312.250000,625.830000,325.410000,554.160000
291.540000,698.550000,312.610000,625.880000,325.570000,554.090000
291.710000,698.560000,312.640000,625.890000,325.690000,554.100000
291.800000,698.590000,312.850000,625.920000,325.690000,553.950000
291.850000,698.610000,312.890000,625.930000,325.820000,554.000000
291.930000,698.580000,312.960000,625.930000,325.790000,554.000000
292.030000,698.590000,313.100000,625.820000,325.780000,554.000000
292.040000,698.480000,313.180000,625.840000,325.780000,554.000000
292.100000,698.390000,313.180000,625.830000,325.870000,554.000000
292.120000,698.390000,313.180000,625.830000,325.880000,553.990000
292.150000,698.370000,313.180000,625.820000,325.930000,553.860000
292.170000,698.380000,313.180000,625.810000,325.930000,553.860000
292.280000,698.380000,313.210000,625.820000,325.890000,553.880000
292.290000,698.370000,313.200000,625.800000,325.980000,554.000000
292.310000,698.390000,313.190000,625.800000,325.980000,554.010000
292.410000,698.310000,313.340000,625.710000,326.100000,553.900000
292.420000,698.280000,313.370000,625.710000,326.000000,553.840000
292.450000,698.300000,313.370000,625.710000,326.020000,553.830000
292.540000,698.260000,313.380000,625.570000,326.050000,553.840000
292.740000,698.190000,313.540000,625.530000,326.070000,553.850000
292.860000,698.210000,313.710000,625.550000,326.260000,553.760000
292.870000,698.200000,313.770000,625.590000,326.140000,553.620000
292.900000,698.200000,313.770000,625.600000,326.340000,553.390000
293.100000,698.200000,313.910000,625.590000,326.480000,553.650000
293.110000,698.200000,313.940000,625.570000,326.560000,553.820000
293.160000,698.170000,314.010000,625.570000,326.560000,553.820000
293.130000,698.130000,314.100000,625.430000,326.550000,553.810000
293.340000,698.000000,314.080000,625.320000,326.740000,553.620000
293.340000,698.010000,314.080000,625.310000,326.760000,553.640000
293.350000,698.000000,314.160000,625.300000,326.720000,553.580000
293.450000,698.020000,314.260000,625.260000,326.730000,553.570000
293.570000,698.000000,314.300000,625.190000,326.730000,553.550000
293.650000,697.950000,314.310000,625.190000,326.730000,553.560000
293.880000,697.920000,314.400000,625.160000,326.730000,553.560000
293.870000,697.900000,314.480000,625.190000,326.950000,553.600000
293.890000,697.910000,314.540000,625.210000,326.970000,553.590000
294.000000,697.880000,314.730000,625.240000,326.960000,553.630000
294.060000,697.880000,314.860000,625.160000,327.150000,553.680000
294.090000,697.850000,314.860000,625.150000,327.160000,553.670000
294.180000,697.910000,314.950000,625.150000,327.330000,553.330000
294.210000,697.870000,314.920000,625.130000,327.290000,553.180000
294.210000,697.860000,314.980000,625.170000,327.290000,553.190000
294.280000,697.880000,315.030000,625.190000,327.300000,553.200000
294.280000,697.890000,315.010000,625.170000,327.340000,553.030000
294.340000,697.910000,315.020000,625.170000,327.370000,553.340000
294.340000,697.890000,315.030000,625.180000,327.280000,553.630000
294.340000,697.880000,315.020000,625.170000,327.270000,553.620000
294.340000,697.880000,315.020000,625.170000,327.440000,553.420000
294.330000,697.900000,315.020000,625.140000,327.530000,553.230000
294.350000,697.890000,315.010000,625.140000,327.450000,553.350000
294.340000,697.890000,315.020000,625.140000,327.390000,553.340000
294.370000,697.830000,315.050000,625.090000,327.390000,553.100000
294.320000,697.850000,315.060000,625.090000,327.610000,553.360000
294.340000,697.840000,315.060000,625.100000,327.250000,553.290000
294.330000,697.800000,315.060000,625.090000,327.170000,553.130000
294.340000,697.850000,315.050000,625.100000,327.200000,553.130000
294.340000,697.850000,315.050000,625.100000,327.200000,553.130000
294.360000,697.840000,315.040000,625.100000,327.200000,553.130000
294.370000,697.810000,315.040000,625.100000,327.200000,553.130000
294.370000,697.810000,315.020000,625.050000,327.220000,553.120000
294.350000,697.770000,315.020000,625.060000,327.220000,553.170000
294.360000,697.780000,315.010000,625.050000,327.250000,553.170000
294.360000,697.780000,315.000000,625.050000,327.250000,553.170000
294.350000,697.710000,315.040000,625.050000,327.440000,553.130000
294.370000,697.720000,315.020000,625.060000,327.480000,553.080000
294.370000,697.700000,315.010000,625.030000,327.430000,553.070000
294.370000,697.720000,315.030000,625.050000,327.350000,553.070000
294.370000,697.710000,315.040000,625.060000,327.360000,553.070000
294.360000,697.720000,315.050000,625.060000,327.360000,553.070000
294.360000,697.720000,315.050000,625.060000,327.360000,553.070000
294.360000,697.710000,315.050000,625.050000,327.350000,553.080000
294.370000,697.700000,315.040000,625.050000,327.360000,553.070000
294.300000,697.680000,315.030000,625.040000,327.410000,553.100000
294.320000,697.670000,315.020000,625.030000,327.410000,553.100000
294.300000,697.670000,314.990000,625.020000,327.410000,553.100000
294.220000,697.660000,314.870000,624.960000,327.130000,553.170000
294.170000,697.660000,314.840000,624.970000,327.110000,553.150000
294.150000,697.640000,314.800000,624.960000,327.100000,553.140000
294.140000,697.640000,314.770000,624.950000,326.900000,553.120000
293.990000,697.620000,314.730000,624.930000,326.730000,553.150000
293.940000,697.620000,314.740000,624.950000,326.740000,553.150000
293.940000,697.620000,314.670000,624.960000,326.850000,553.060000
293.950000,697.580000,314.650000,624.950000,326.850000,553.070000
293.960000,697.570000,314.650000,624.960000,326.850000,553.120000
293.920000,697.540000,314.610000,624.950000,326.900000,553.130000
293.910000,697.550000,314.590000,624.950000,326.840000,553.130000
293.910000,697.530000,314.580000,624.950000,326.830000,553.130000
293.760000,697.590000,314.270000,624.910000,326.660000,553.250000
293.730000,697.600000,314.240000,624.930000,326.670000,553.050000
293.350000,697.510000,313.970000,624.870000,326.520000,553.300000
293.160000,697.450000,313.830000,624.900000,326.370000,553.290000
292.860000,697.380000,313.440000,624.910000,325.880000,553.170000
292.410000,697.390000,313.010000,624.870000,325.600000,553.200000
291.830000,697.330000,312.530000,624.880000,324.980000,553.150000
291.160000,697.190000,311.880000,624.790000,324.250000,553.210000
290.610000,697.080000,311.310000,624.740000,323.760000,553.210000
290.030000,697.140000,310.780000,624.710000,323.110000,553.250000
289.420000,697.130000,310.160000,624.560000,322.430000,553.210000
289.020000,697.060000,309.710000,624.470000,322.150000,552.950000
288.830000,697.040000,309.280000,624.330000,321.910000,553.250000
288.730000,697.060000,309.190000,624.380000,321.870000,553.140000
288.350000,697.020000,308.970000,624.430000,321.860000,553.140000
288.180000,696.980000,308.820000,624.440000,321.490000,553.210000
287.780000,696.940000,308.430000,624.220000,321.240000,553.180000
287.380000,696.670000,308.240000,623.970000,321.290000,553.130000
287.390000,696.350000,308.280000,623.950000,321.310000,553.120000
288.130000,696.040000,309.560000,623.720000,322.700000,553.130000
288.790000,695.870000,310.180000,623.420000,323.710000,552.880000
289.270000,695.570000,311.030000,623.210000,324.490000,552.900000
290.180000,695.320000,312.010000,623.170000,325.270000,552.920000
291.010000,695.190000,312.860000,622.960000,326.100000,552.810000
291.720000,695.000000,313.770000,622.930000,327.000000,552.570000
292.490000,694.900000,314.670000,622.790000,327.730000,552.000000
293.190000,694.750000,315.220000,622.660000,328.140000,552.220000
294.110000,694.770000,316.100000,622.670000,328.600000,552.240000
294.750000,694.790000,316.800000,622.570000,329.280000,552.140000
295.070000,694.760000,316.960000,622.340000,329.660000,551.920000
295.330000,694.690000,317.150000,622.350000,329.670000,551.930000
295.520000,694.640000,317.250000,622.060000,329.800000,551.880000
295.700000,694.630000,317.460000,622.090000,330.070000,551.840000
295.970000,694.450000,317.780000,621.990000,330.150000,551.790000
296.000000,694.250000,317.860000,622.000000,330.150000,551.790000
296.090000,694.160000,317.930000,621.980000,330.200000,551.660000
296.310000,694.130000,318.080000,621.800000,330.930000,551.550000
296.560000,694.070000,318.110000,621.810000,324.872044,544.779885
297.110000,694.000000,318.140000,621.880000,324.940000,544.780000
297.330000,694.000000,318.240000,621.820000,325.160000,544.330000
297.460000,693.990000,318.420000,621.900000,325.180000,544.300000
297.550000,693.990000,318.540000,621.930000,325.280000,544.320000
297.610000,693.990000,318.700000,621.890000,325.330000,544.260000
297.850000,693.990000,318.860000,621.890000,325.320000,544.270000
297.860000,693.970000,318.870000,621.890000,325.320000,544.270000
297.980000,693.970000,318.920000,621.910000,325.630000,544.320000
298.000000,693.940000,318.940000,621.900000,325.760000,544.300000
298.050000,693.960000,319.020000,621.920000,325.800000,544.720000
298.160000,693.970000,319.100000,621.900000,325.840000,544.620000
298.180000,693.970000,319.110000,621.900000,325.860000,544.970000
298.160000,693.970000,319.110000,621.900000,325.850000,544.970000
298.160000,693.980000,319.120000,621.900000,325.860000,544.970000
298.180000,693.980000,319.120000,621.890000,325.850000,544.910000
298.240000,693.990000,319.130000,621.890000,325.850000,544.570000
298.240000,693.990000,319.160000,621.910000,325.850000,544.210000
298.260000,694.000000,319.160000,621.920000,325.850000,544.220000
298.260000,694.000000,319.160000,621.920000,325.860000,544.170000
298.280000,694.030000,319.160000,621.930000,325.860000,544.170000
298.300000,694.070000,319.160000,621.930000,325.860000,544.170000
298.320000,694.070000,319.210000,621.950000,325.860000,544.160000
298.400000,694.210000,319.230000,622.080000,325.920000,544.310000
298.400000,694.210000,319.260000,622.120000,325.990000,544.800000
298.420000,694.490000,319.230000,622.220000,325.990000,545.010000
298.430000,694.770000,319.210000,622.350000,325.990000,545.010000
298.380000,694.850000,319.270000,622.550000,325.980000,545.000000
298.330000,694.970000,319.270000,622.770000,325.960000,545.000000
298.340000,695.160000,319.210000,622.880000,325.960000,545.000000
298.170000,695.250000,319.110000,622.970000,325.950000,545.220000
298.210000,695.410000,319.120000,623.170000,325.940000,545.230000
298.150000,695.780000,319.070000,623.320000,325.940000,545.230000
298.100000,695.860000,318.970000,623.440000,325.970000,545.250000
298.010000,695.940000,318.980000,623.680000,325.970000,545.250000
297.900000,696.090000,318.880000,623.840000,325.700000,545.550000
297.840000,696.130000,318.830000,623.930000,325.620000,546.180000
297.720000,696.270000,318.800000,624.160000,325.740000,546.520000
297.760000,696.500000,318.790000,624.150000,325.740000,546.530000
297.760000,696.730000,318.740000,624.280000,325.740000,546.540000
297.560000,696.840000,318.440000,624.290000,325.690000,546.380000
297.370000,696.840000,318.310000,624.300000,325.680000,546.170000
297.290000,696.940000,318.330000,624.560000,325.300000,546.200000
297.230000,697.110000,318.310000,624.750000,325.230000,546.200000
297.090000,697.180000,318.260000,624.800000,325.230000,546.200000
297.060000,697.230000,318.200000,624.880000,325.250000,546.200000
297.060000,697.290000,318.150000,625.010000,325.250000,546.200000
296.930000,697.580000,318.000000,625.120000,325.000000,546.490000
296.930000,697.690000,317.950000,625.140000,325.070000,546.770000
296.840000,697.860000,317.900000,625.290000,325.070000,546.990000
296.790000,697.950000,317.870000,625.390000,325.070000,546.990000
296.630000,698.050000,317.840000,625.620000,324.980000,547.020000
296.300000,698.060000,317.780000,625.730000,324.970000,547.040000
296.300000,698.090000,317.760000,625.740000,324.740000,547.070000
296.250000,698.170000,317.530000,625.870000,324.750000,547.070000
296.140000,698.270000,317.360000,625.760000,324.750000,547.070000
296.080000,698.320000,317.310000,625.860000,324.680000,547.040000
296.020000,698.350000,317.170000,625.940000,324.650000,547.070000
295.910000,698.440000,317.170000,626.090000,324.650000,547.070000
295.940000,698.730000,317.060000,626.080000,324.420000,547.090000
295.940000,698.730000,317.050000,626.090000,324.390000,547.070000
295.890000,698.770000,317.000000,626.370000,324.370000,547.060000
295.760000,698.900000,316.900000,626.350000,324.370000,547.060000
295.700000,699.000000,316.860000,626.350000,324.380000,547.070000
295.610000,699.020000,316.830000,626.420000,324.330000,547.390000
295.530000,699.010000,316.650000,626.540000,324.000000,547.760000
295.350000,699.040000,316.660000,626.660000,324.000000,547.750000
295.320000,699.110000,316.610000,626.690000,324.000000,547.750000
295.200000,699.160000,316.590000,626.750000,324.000000,547.750000
295.090000,699.210000,316.360000,626.770000,323.960000,547.730000
295.020000,699.260000,316.290000,626.820000,323.960000,547.800000
294.930000,699.300000,316.110000,626.830000,323.740000,547.580000
294.940000,699.350000,316.120000,626.850000,323.740000,547.750000
294.880000,699.360000,316.070000,626.930000,323.580000,547.940000
294.870000,699.430000,315.940000,626.990000,323.510000,547.930000
294.640000,699.470000,315.890000,626.980000,323.510000,547.930000
294.520000,699.600000,315.870000,626.990000,323.460000,547.910000
294.520000,699.620000,315.850000,627.080000,323.430000,547.910000
294.450000,699.610000,315.780000,627.290000,323.360000,547.890000
294.390000,699.720000,315.730000,627.260000,323.360000,547.880000
294.380000,699.790000,315.690000,627.240000,323.060000,547.890000
294.330000,699.860000,315.620000,627.220000,323.060000,547.890000
294.290000,699.890000,315.490000,627.330000,323.060000,547.890000
294.110000,699.920000,315.250000,627.250000,322.970000,547.820000
294.070000,699.900000,315.260000,627.280000,323.000000,548.050000
294.060000,699.950000,315.250000,627.280000,323.010000,548.050000
294.050000,700.000000,315.200000,627.260000,323.010000,548.050000
294.030000,700.010000,315.070000,627.370000,323.020000,548.050000
293.820000,700.050000,315.030000,627.430000,323.010000,548.040000
