390.06,258,186,576.04,232.93,492.07,273.96,408.1,305.11,323.06
390.06,258,185.98,576.11,232.93,492.06,274.01,408.1,305.05,323.04
390.08,258,186.05,576.1,232.97,492.03,273.96,408.09,305.09,323
390.08,258,186.07,576.15,232.95,492.02,274.06,408.06,305.03,323
390.09,257.99,186.06,576.12,233.01,492.04,274.03,408,305.01,322.99
390.1,258,186.05,576.1,232.99,491.97,274.02,407.98,305.06,323.11
390.11,258,186.07,576.12,233.03,492.07,274.06,408.02,304.94,323.06
390.11,258.01,186.1,576.16,233.04,492.05,274.06,408.07,304.98,323.04
390.12,258.01,186.09,576.09,233.06,492.09,274.03,408.06,305,323.07
390.12,258.01,186.08,576.09,233.09,492.15,274.05,408.02,305.03,323.1
390.12,258.01,186.1,576.09,233.1,492.07,274.07,407.97,305,323.12
390.12,258,186.1,576.1,233.05,492.11,274.05,408.05,305.14,323.09
390.12,258,186.14,576.08,233.01,492.03,274.04,408.01,305.1,323.12
390.11,258.01,186.13,576.08,233.05,492.02,274.02,407.98,305.08,323.06
390.11,258.01,186.14,576.09,233.05,492.04,274.09,408.03,305.12,323.07
390.11,258,186.12,576.06,233.08,492.03,274.02,408.01,305.11,323.06
390.12,258,186.11,576.07,233.07,491.99,274.02,407.93,305.11,323.1
390.12,258,186.14,576.05,233.06,492.1,274.03,408.01,304.96,323.06
390.11,258,186.15,576.07,233.05,492.02,274.06,407.97,305.04,323.18
390.1,258.01,186.17,576.05,233.06,492.09,273.91,407.99,305.06,323.19
390.1,258.01,186.15,576.05,233.05,492,274.06,408.07,305.07,323.06
390.1,258.01,186.19,576.06,233.05,492.02,274.02,408.02,305.09,322.99
390.09,258.01,186.16,576.1,233.03,492.03,274.01,407.97,305.11,323.09
390.1,258,186.15,576.04,233.08,492.1,274.02,408.01,305.08,323.12
390.1,258.01,186.15,576.05,233.04,492.07,273.99,407.99,305.05,322.99
390.11,258.01,186.16,576.11,233.06,492.05,274.01,408,304.91,322.98
390.11,258.01,186.18,576.07,233.06,492.1,274,408,305.03,323.01
390.1,258,186.21,576.08,233.08,492.05,273.99,407.96,305.01,323.05
390.1,258,186.16,576.04,233.07,492,274.01,407.99,305.06,323.04
390.09,258,186.13,576.03,233.09,492.02,274.01,408.06,305.1,323.03
390.1,258,186.15,576.06,233.05,491.99,273.91,408,305.1,323.09
390.1,258.01,186.16,576.04,233.06,492,273.89,408.01,305.01,323.02
390.11,258.01,186.13,576.07,233.08,492.02,273.99,408.02,305.17,323.07
390.11,258.01,186.16,576.05,233.04,491.97,273.99,408.06,305.04,323.11
390.11,258.01,186.13,576.03,233.05,492.01,274.02,408.03,305.01,323.07
390.1,258,186.14,576.04,233.04,492.02,274.05,408.04,304.88,323.06
390.1,258.01,186.13,576.03,233.06,492.03,274.06,408.05,305.1,323.12
390.09,258.01,186.12,576.08,233.02,491.98,274.03,408.03,305.08,323.12
390.1,258.01,186.16,576.04,233.05,491.98,274.09,408.04,305,323.02
390.11,258,186.15,576.05,233,492,274.05,407.99,304.98,323.03
390.1,258.01,186.13,576.03,233,492.05,274.06,408.04,304.99,323.05
390.1,258,186.08,576.06,233.02,492.05,274.04,408.05,305.09,323.09
390.09,258.01,186.1,576.05,233.02,492.06,274.06,408.07,305.07,323.04
