pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
473.730000,703.230000,0.000000,0.000000
473.730000,703.220000,0.000000,0.000000
473.710000,703.360000,0.000000,0.000000
473.720000,703.360000,0.000000,0.000000
473.660000,703.360000,0.000000,0.000000
473.670000,703.370000,0.000000,0.000000
473.660000,703.490000,0.000000,0.000000
473.660000,703.650000,0.000000,0.000000
473.680000,703.600000,0.000000,0.000000
473.620000,703.660000,0.000000,0.000000
473.600000,703.740000,0.000000,0.000000
473.620000,703.710000,0.000000,0.000000
473.630000,703.660000,0.000000,0.000000
473.600000,703.730000,0.000000,0.000000
473.700000,703.680000,0.000000,0.000000
473.650000,703.800000,0.000000,0.000000
473.680000,703.780000,0.000000,0.000000
473.740000,703.660000,0.000000,0.000000
473.740000,703.480000,0.000000,0.000000
473.770000,703.480000,0.000000,0.000000
473.770000,703.470000,0.000000,0.000000
473.700000,703.460000,0.000000,0.000000
473.720000,703.370000,0.000000,0.000000
473.740000,703.380000,0.000000,0.000000
473.740000,703.360000,0.000000,0.000000
473.760000,703.390000,0.000000,0.000000
473.760000,703.380000,0.000000,0.000000
473.750000,703.380000,0.000000,0.000000
473.730000,703.320000,0.000000,0.000000
473.750000,703.240000,0.000000,0.000000
473.780000,703.190000,0.000000,0.000000
473.800000,703.230000,0.000000,0.000000
473.840000,703.290000,0.000000,0.000000
473.840000,703.170000,0.000000,0.000000
473.830000,703.110000,0.000000,0.000000
473.810000,703.080000,0.000000,0.000000
473.820000,703.070000,0.000000,0.000000
473.840000,703.030000,0.000000,0.000000
473.810000,703.000000,0.000000,0.000000
473.830000,702.950000,0.000000,0.000000
473.830000,702.920000,0.000000,0.000000
473.840000,702.800000,0.000000,0.000000
473.860000,702.720000,0.000000,0.000000
473.870000,702.720000,0.000000,0.000000
473.910000,702.600000,0.000000,0.000000
473.890000,702.610000,0.000000,0.000000
473.890000,702.570000,0.000000,0.000000
473.920000,702.390000,0.000000,0.000000
473.970000,702.250000,0.000000,0.000000
474.000000,702.210000,0.000000,0.000000
474.000000,702.220000,0.000000,0.000000
473.980000,702.180000,0.000000,0.000000
473.950000,702.160000,0.000000,0.000000
473.960000,702.100000,0.000000,0.000000
473.970000,702.070000,0.000000,0.000000
473.980000,702.070000,0.000000,0.000000
473.980000,702.060000,0.000000,0.000000
473.970000,702.100000,0.000000,0.000000
473.950000,702.070000,0.000000,0.000000
473.950000,702.020000,0.000000,0.000000
473.970000,701.990000,0.000000,0.000000
473.970000,702.020000,0.000000,0.000000
473.960000,702.020000,0.000000,0.000000
473.960000,702.010000,0.000000,0.000000
473.970000,701.970000,0.000000,0.000000
473.970000,701.980000,0.000000,0.000000
473.970000,701.970000,0.000000,0.000000
473.990000,701.970000,0.000000,0.000000
473.960000,701.970000,0.000000,0.000000
